wavelength,mm_cm_2
3227.0,8.563958592737208e-09
3228.0,8.747673986400253e-09
3229.0,8.756599024629513e-09
3230.0,8.765189791764048e-09
3231.0,8.775084216168025e-09
3232.0,8.783541274864668e-09
3233.0,8.79196490645184e-09
3234.0,8.800388538039008e-09
3235.0,8.809380430487217e-09
3236.0,8.818639739811209e-09
3237.0,8.887098460011702e-09
3238.0,8.940682116496759e-09
3239.0,9.12085423655567e-09
3240.0,9.130146972989135e-09
3241.0,9.138938302780507e-09
3242.0,9.147763059681352e-09
3243.0,9.156520962363254e-09
3244.0,9.170961473655542e-09
3245.0,9.185268276509942e-09
3246.0,9.202115539684282e-09
3247.0,9.210873442366181e-09
3248.0,9.219765053485972e-09
3249.0,9.230194311641515e-09
3250.0,9.24052328846864e-09
3251.0,9.250050014668416e-09
3252.0,9.27087510387003e-09
3253.0,9.279699860770875e-09
3254.0,9.288624899000138e-09
3255.0,9.536186071756413e-09
3256.0,9.611564203617794e-09
3257.0,9.662373410016597e-09
3258.0,9.746242027684095e-09
3259.0,9.75546790989861e-09
3260.0,9.765429188521538e-09
3261.0,9.775357040034989e-09
3262.0,9.784683203577926e-09
3263.0,9.904051411505641e-09
3264.0,9.916386014901136e-09
3265.0,9.937545375197484e-09
3266.0,9.946938392959368e-09
3267.0,9.956364837830724e-09
3268.0,9.966526679110486e-09
3269.0,9.991062177463587e-09
3270.0,1.0000555476553893e-08
3271.0,1.0010015348534725e-08
3272.0,1.0021781691069184e-08
3273.0,1.0031475552816323e-08
3274.0,1.0042473071832902e-08
3275.0,1.0140080231493765e-08
3276.0,1.0153016522859777e-08
3277.0,1.0162710384606917e-08
3278.0,1.0175078415111887e-08
3279.0,1.0415954165973577e-08
3280.0,1.0425815163268086e-08
3281.0,1.043657869251836e-08
3282.0,1.0446606825360229e-08
3283.0,1.0456568103983151e-08
3284.0,1.0466696518153434e-08
3285.0,1.0479565955300506e-08
3286.0,1.057436523776564e-08
3287.0,1.058429308927909e-08
3288.0,1.0594254367902014e-08
3289.0,1.0604349354962824e-08
3290.0,1.06938002999123e-08
3291.0,1.0704931527366774e-08
3292.0,1.071512679575601e-08
3293.0,1.0726959992509414e-08
3294.0,1.0759217153150754e-08
3295.0,1.076961298419683e-08
3296.0,1.0779741398367119e-08
3297.0,1.0793279377703642e-08
3298.0,1.1041408811320953e-08
3299.0,1.1056584719021643e-08
3300.0,1.1066947122958248e-08
3301.0,1.1078579757054817e-08
3302.0,1.114660392483216e-08
3303.0,1.115997476862132e-08
3304.0,1.117227594490734e-08
3305.0,1.1185646788696502e-08
3306.0,1.1196276609508883e-08
3307.0,1.1206772721883373e-08
3308.0,1.1217268834257864e-08
3309.0,1.123274558594381e-08
3310.0,1.1244779345354058e-08
3311.0,1.125611113546537e-08
3312.0,1.1267877477999829e-08
3313.0,1.1278407017483793e-08
3314.0,1.1289003411186705e-08
3315.0,1.1300903462159052e-08
3316.0,1.1327945993722626e-08
3317.0,1.1338609241644478e-08
3318.0,1.1349439625113697e-08
3319.0,1.1360203154363976e-08
3320.0,1.1371702080022647e-08
3321.0,1.1382866734586594e-08
3322.0,1.1399112309790423e-08
3323.0,1.1410310391463842e-08
3324.0,1.1420973639385702e-08
3325.0,1.1480106196043251e-08
3326.0,1.1492073101234549e-08
3327.0,1.1504775402834247e-08
3328.0,1.1515572359193996e-08
3329.0,1.1527840108370554e-08
3330.0,1.1538737346058712e-08
3331.0,1.1554481514620447e-08
3332.0,1.1565445606527558e-08
