date,KITT,KITT_err,SA48,SA48_err
1262439900.0,,,6.8,0.125
1262441700.0,,,6.5,0.125
1262443500.0,,,7.2,0.125
1262445300.0,,,7.0,0.125
1262447100.0,,,7.0,0.125
1262448900.0,,,7.9,0.125
1262450700.0,,,7.7,0.125
1262452500.0,,,7.4,0.125
1262454300.0,,,7.2,0.125
1262456100.0,,,6.4,0.125
1262457900.0,,,6.5,0.125
1262459700.0,,,6.8,0.125
1262461500.0,,,6.8,0.125
1262463300.0,,,6.7,0.125
1262465100.0,,,6.2,0.125
1262466900.0,,,5.7,0.125
1262468700.0,,,5.3,0.125
1262470500.0,,,5.5,0.125
1262472300.0,,,5.4,0.125
1262474100.0,,,5.4,0.125
1262475900.0,,,5.3,0.125
1262477700.0,,,5.8,0.125
1262479500.0,,,5.7,0.125
1262481300.0,,,4.8,0.125
1262483100.0,,,4.8,0.125
1262484900.0,,,5.0,0.125
1262486700.0,,,4.9,0.125
1262488500.0,,,4.8,0.125
1262490300.0,,,4.7,0.125
1262492100.0,,,4.7,0.125
1262493900.0,,,4.9,0.125
1262495700.0,,,4.3,0.125
1262497500.0,,,3.9,0.125
1262499300.0,,,4.0,0.125
1262501100.0,,,4.1,0.125
1262502900.0,,,3.9,0.125
1262504700.0,,,3.7,0.125
1262506500.0,,,3.3,0.125
1262508300.0,,,2.7,0.125
1262510100.0,,,2.9,0.125
1262511900.0,,,2.8,0.125
1262513700.0,,,2.7,0.125
1262515500.0,,,3.2,0.125
1262517300.0,,,3.5,0.125
1262519100.0,,,3.2,0.125
1262520900.0,,,2.6,0.125
1262522700.0,,,2.5,0.125
1262524500.0,,,2.9,0.125
1262526300.0,,,2.9,0.125
1262528100.0,,,2.5,0.125
1262529900.0,,,2.9,0.125
1262531700.0,,,2.7,0.125
1262533500.0,,,2.4,0.125
1262535300.0,,,2.6,0.125
1262537100.0,,,2.7,0.125
1262538900.0,,,2.8,0.125
1262540700.0,,,3.1,0.125
1262542500.0,,,2.4,0.125
1262544300.0,,,2.7,0.125
1262546100.0,,,4.2,0.125
1262547900.0,,,4.6,0.125
1262549700.0,,,4.5,0.125
1262551500.0,,,4.5,0.125
1262553300.0,,,4.4,0.125
1262555100.0,,,4.7,0.125
1262556900.0,,,5.2,0.125
1262558700.0,,,5.5,0.125
1262560500.0,,,5.9,0.125
1262562300.0,,,6.0,0.125
1262564100.0,,,6.2,0.125
1262565900.0,,,5.9,0.125
1262567700.0,,,5.4,0.125
1262569500.0,,,5.3,0.125
1262571300.0,,,5.3,0.125
1262573100.0,,,5.3,0.125
1262574900.0,,,5.4,0.125
1262576700.0,,,5.1,0.125
1262578500.0,,,5.3,0.125
1262580300.0,,,5.9,0.125
1262582100.0,,,5.8,0.125
1262583900.0,,,5.7,0.125
1262585700.0,,,5.6,0.125
1262587500.0,,,5.5,0.125
1262589300.0,,,5.5,0.125
1262591100.0,,,6.1,0.125
1262592900.0,,,5.9,0.125
1262594700.0,,,5.2,0.125
1262596500.0,,,5.6,0.125
1262598300.0,,,5.8,0.125
1262600100.0,,,5.5,0.125
1262601900.0,,,5.6,0.125
1262603700.0,,,5.8,0.125
1262605500.0,,,5.6,0.125
1262607300.0,,,5.0,0.125
1262609100.0,,,4.8,0.125
1262610900.0,,,5.0,0.125
1262612700.0,,,5.0,0.125
1262614500.0,,,4.8,0.125
1262616300.0,,,4.8,0.125
1262618100.0,,,4.4,0.125
1262619900.0,,,4.4,0.125
1262621700.0,,,4.9,0.125
1262623500.0,,,5.1,0.125
1262625300.0,,,5.3,0.125
1262627100.0,,,5.1,0.125
1262628900.0,,,4.3,0.125
1262630700.0,,,4.1,0.125
1262632500.0,,,4.4,0.125
1262634300.0,,,4.1,0.125
1262636100.0,,,4.1,0.125
1262637900.0,,,4.2,0.125
1262639700.0,,,4.1,0.125
1262641500.0,,,4.0,0.125
1262643300.0,,,4.2,0.125
1262645100.0,,,4.1,0.125
1262646900.0,,,4.2,0.125
1262648700.0,,,4.0,0.125
1262650500.0,,,4.1,0.125
1262652300.0,,,4.2,0.125
1262654100.0,,,3.9,0.125
1262655900.0,,,3.6,0.125
1262657700.0,,,3.8,0.125
1262659500.0,,,3.9,0.125
1262661300.0,,,4.0,0.125
1262663100.0,,,4.0,0.125
1262664900.0,,,4.3,0.125
1262666700.0,,,5.9,0.325
1262668500.0,,,5.5,0.325
1262670300.0,,,4.2,0.125
1262672100.0,,,4.3,0.125
1262673900.0,,,4.0,0.125
1262675700.0,,,3.9,0.125
1262677500.0,,,4.5,0.125
1262679300.0,,,4.3,0.125
1262681100.0,,,3.8,0.125
1262682900.0,,,3.9,0.125
1262684700.0,,,4.0,0.125
1262686500.0,,,3.9,0.125
1262688300.0,,,4.3,0.125
1262690100.0,,,4.4,0.125
1262691900.0,,,4.2,0.125
1262693700.0,,,3.7,0.125
1262695500.0,,,3.6,0.125
1262697300.0,,,3.7,0.125
1262699100.0,,,3.4,0.125
1262700900.0,,,3.5,0.125
1262702700.0,,,3.6,0.125
1262704500.0,,,3.2,0.125
1262706300.0,,,3.1,0.125
1262708100.0,,,3.1,0.125
1262709900.0,,,3.2,0.125
1262711700.0,,,3.8,0.125
1262713500.0,,,3.7,0.125
1262715300.0,,,3.5,0.125
1262717100.0,,,3.9,0.125
1262718900.0,,,4.2,0.125
1262720700.0,,,4.2,0.125
1262722500.0,,,4.0,0.125
1262724300.0,,,3.9,0.125
1262726100.0,,,3.6,0.125
1262727900.0,,,3.8,0.125
1262729700.0,,,4.0,0.125
1262731500.0,,,3.9,0.125
1262733300.0,,,3.8,0.125
1262735100.0,,,3.7,0.125
1262736900.0,,,3.8,0.125
1262738700.0,,,3.7,0.125
1262740500.0,,,3.5,0.125
1262742300.0,,,3.2,0.125
1262744100.0,,,3.3,0.125
1262745900.0,,,3.4,0.125
1262747700.0,,,3.1,0.125
1262749500.0,,,3.0,0.125
1262751300.0,,,3.5,0.125
1262753100.0,,,3.3,0.125
1262754900.0,,,2.8,0.125
1262756700.0,,,3.4,0.125
1262758500.0,,,3.8,0.125
1262760300.0,,,3.4,0.125
1262762100.0,,,3.0,0.125
1262763900.0,,,3.2,0.125
1262765700.0,,,2.7,0.125
1262767500.0,,,2.3,0.125
1262769300.0,,,2.3,0.125
1262771100.0,,,2.5,0.125
1262772900.0,,,2.7,0.125
1262774700.0,,,2.9,0.125
1262776500.0,,,3.2,0.125
1262778300.0,,,3.0,0.125
1262780100.0,,,2.7,0.125
1262781900.0,,,2.7,0.125
1262783700.0,,,2.9,0.125
1262785500.0,,,2.7,0.125
1262787300.0,,,2.8,0.125
1262789100.0,,,2.8,0.125
1262790900.0,,,2.6,0.125
1262792700.0,,,3.0,0.125
1262794500.0,,,3.1,0.125
1262796300.0,,,3.1,0.125
1262798100.0,,,3.7,0.125
1262799900.0,,,3.6,0.125
1262801700.0,,,3.3,0.125
1262803500.0,,,3.6,0.125
1262805300.0,,,4.0,0.125
1262807100.0,,,4.3,0.125
1262808900.0,,,4.1,0.125
1262810700.0,,,3.7,0.125
1262812500.0,,,3.6,0.125
1262814300.0,,,4.3,0.125
1262816100.0,,,4.4,0.125
1262817900.0,,,4.5,0.125
1262819700.0,,,4.6,0.125
1262821500.0,,,4.4,0.125
1262823300.0,,,4.4,0.125
1262825100.0,,,4.4,0.125
1262826900.0,,,4.6,0.125
1262828700.0,,,4.8,0.125
1262830500.0,,,5.5,0.125
1262832300.0,,,5.9,0.125
1262834100.0,,,5.6,0.125
1262835900.0,,,5.3,0.125
1262837700.0,,,5.6,0.125
1262839500.0,,,6.0,0.125
1262841300.0,,,6.1,0.125
1262843100.0,,,6.5,0.125
1262844900.0,,,6.8,0.125
1262846700.0,,,6.6,0.125
1262848500.0,,,7.0,0.125
1262850300.0,,,7.5,0.125
1262852100.0,,,7.1,0.125
1262853900.0,,,7.0,0.125
1262855700.0,,,7.2,0.125
1262857500.0,,,7.1,0.125
1262859300.0,,,7.1,0.125
1262861100.0,,,7.6,0.125
1262862900.0,,,7.8,0.125
1262864700.0,,,7.6,0.125
1262866500.0,,,7.7,0.125
1262868300.0,,,8.1,0.125
1262870100.0,,,8.4,0.125
1262871900.0,,,8.2,0.125
1262873700.0,,,8.1,0.125
1262875500.0,,,7.8,0.125
1262877300.0,,,7.7,0.125
1262879100.0,,,8.1,0.125
1262880900.0,,,8.1,0.125
1262882700.0,,,8.1,0.125
1262884500.0,,,8.7,0.125
1262886300.0,,,8.9,0.125
1262888100.0,,,8.7,0.125
1262889900.0,,,9.0,0.125
1262891700.0,,,9.0,0.125
1262893500.0,,,8.7,0.125
1262895300.0,,,8.5,0.125
1262897100.0,,,8.2,0.125
1262898900.0,,,8.0,0.125
1262900700.0,,,8.0,0.125
1262902500.0,,,7.9,0.125
1262904300.0,,,8.1,0.125
1262906100.0,,,8.1,0.125
1262907900.0,,,8.2,0.125
1262909700.0,,,8.6,0.125
1262911500.0,,,8.5,0.125
1262913300.0,,,8.4,0.125
1262915100.0,,,8.3,0.125
1262916900.0,,,8.1,0.125
1262918700.0,,,7.7,0.125
1262920500.0,,,7.4,0.125
1262922300.0,,,7.5,0.125
1262924100.0,,,7.4,0.125
1262925900.0,,,7.0,0.125
1262927700.0,,,7.1,0.125
1262929500.0,,,7.3,0.125
1262931300.0,,,7.9,0.125
1262933100.0,,,7.7,0.125
1262934900.0,,,7.1,0.125
1262936700.0,,,7.2,0.125
1262938500.0,,,6.6,0.125
1262940300.0,,,6.6,0.125
1262942100.0,,,7.0,0.125
1262943900.0,,,7.1,0.125
1262945700.0,,,7.4,0.125
1262947500.0,,,7.6,0.125
1262949300.0,,,7.0,0.125
1262951100.0,,,6.2,0.125
1262952900.0,,,5.9,0.125
1262954700.0,,,6.6,0.125
1262956500.0,,,7.0,0.125
1262958300.0,,,6.5,0.125
1262960100.0,,,6.7,0.125
1262961900.0,,,6.0,0.125
1262963700.0,,,4.9,0.125
1262965500.0,,,4.6,0.125
1262967300.0,,,4.8,0.125
1262969100.0,,,5.2,0.125
1262970900.0,,,5.6,0.125
1262972700.0,,,4.7,0.125
1262974500.0,,,4.2,0.125
1262976300.0,,,5.0,0.125
1262978100.0,,,5.3,0.125
1262979900.0,,,5.2,0.125
1262981700.0,,,4.8,0.125
1262983500.0,,,4.7,0.125
1262985300.0,,,4.7,0.125
1262987100.0,,,4.8,0.125
1262988900.0,,,4.6,0.125
1262990700.0,,,4.7,0.125
1262992500.0,,,4.4,0.125
1262994300.0,,,4.3,0.125
1262996100.0,,,4.7,0.125
1262997900.0,,,4.2,0.125
1262999700.0,,,4.0,0.125
1263001500.0,,,4.0,0.125
1263003300.0,,,4.0,0.125
1263005100.0,,,3.8,0.125
1263006900.0,,,3.5,0.125
1263008700.0,,,3.4,0.125
1263010500.0,,,3.9,0.125
1263012300.0,,,4.0,0.125
1263014100.0,,,3.6,0.125
1263015900.0,,,3.9,0.125
1263017700.0,,,4.3,0.125
1263019500.0,,,3.9,0.125
1263021300.0,,,4.1,0.125
1263023100.0,,,4.2,0.125
1263024900.0,,,3.1,0.125
1263026700.0,,,3.2,0.125
1263028500.0,,,3.5,0.125
1263030300.0,,,3.3,0.125
1263032100.0,,,3.6,0.125
1263033900.0,,,4.3,0.125
1263035700.0,,,4.1,0.125
1263037500.0,,,3.6,0.125
1263039300.0,,,3.4,0.125
1263041100.0,,,3.5,0.125
1263042900.0,,,3.6,0.125
1263044700.0,,,3.7,0.125
1263046500.0,,,3.8,0.125
1263048300.0,,,3.5,0.125
1263050100.0,,,3.2,0.125
1263051900.0,,,3.5,0.125
1263053700.0,,,3.6,0.125
1263055500.0,,,3.6,0.125
1263057300.0,,,3.7,0.125
1263059100.0,,,3.0,0.125
1263060900.0,,,3.0,0.125
1263062700.0,,,3.7,0.125
1263064500.0,,,3.7,0.125
1263066300.0,,,3.5,0.125
1263068100.0,,,3.2,0.125
1263069900.0,,,2.9,0.125
1263071700.0,,,3.1,0.125
1263073500.0,,,3.6,0.125
1263075300.0,,,3.5,0.125
1263077100.0,,,3.4,0.125
1263078900.0,,,2.9,0.125
1263080700.0,,,2.8,0.125
1263082500.0,,,3.0,0.125
1263084300.0,,,2.7,0.125
1263086100.0,,,2.5,0.125
1263087900.0,,,2.3,0.125
1263089700.0,,,2.2,0.125
1263091500.0,,,2.3,0.125
1263093300.0,,,2.4,0.125
1263095100.0,,,2.7,0.125
1263096900.0,,,3.4,0.125
1263098700.0,,,3.2,0.125
1263100500.0,,,2.6,0.125
1263102300.0,,,2.7,0.125
1263104100.0,,,3.0,0.125
1263105900.0,,,2.3,0.125
1263107700.0,,,2.4,0.125
1263109500.0,,,2.9,0.125
1263111300.0,,,2.6,0.125
1263113100.0,,,3.1,0.125
1263114900.0,,,3.2,0.125
1263116700.0,,,3.3,0.125
1263118500.0,,,3.8,0.125
1263120300.0,,,4.0,0.125
1263122100.0,,,3.7,0.125
1263123900.0,,,3.2,0.125
1263125700.0,,,3.1,0.125
1263127500.0,,,3.4,0.125
1263129300.0,,,3.3,0.125
1263131100.0,,,3.2,0.125
1263132900.0,,,3.3,0.125
1263134700.0,,,2.9,0.125
1263136500.0,,,2.8,0.125
1263138300.0,,,3.2,0.125
1263140100.0,,,3.3,0.125
1263141900.0,,,3.5,0.125
1263143700.0,,,4.0,0.125
1263145500.0,,,3.7,0.125
1263147300.0,,,3.6,0.125
1263149100.0,,,3.6,0.125
1263150900.0,,,3.6,0.125
1263152700.0,,,3.7,0.125
1263154500.0,,,3.3,0.125
1263156300.0,,,3.3,0.125
1263158100.0,,,3.7,0.125
1263159900.0,,,4.2,0.125
1263161700.0,,,4.0,0.125
1263163500.0,,,4.0,0.125
1263165300.0,,,4.2,0.125
1263167100.0,,,4.9,0.125
1263168900.0,,,5.2,0.125
1263170700.0,,,4.6,0.125
1263172500.0,,,4.3,0.125
1263174300.0,,,4.4,0.125
1263176100.0,,,4.2,0.125
1263177900.0,,,3.8,0.125
1263179700.0,,,4.0,0.125
1263181500.0,,,4.3,0.125
1263183300.0,,,4.3,0.125
1263185100.0,,,3.5,0.125
1263186900.0,,,3.0,0.125
1263188700.0,,,3.3,0.125
1263190500.0,,,4.2,0.125
1263192300.0,,,4.3,0.125
1263194100.0,,,5.0,0.125
1263195900.0,,,5.7,0.125
1263197700.0,,,5.4,0.125
1263199500.0,,,6.1,0.125
1263201300.0,,,6.2,0.125
1263203100.0,,,6.3,0.125
1263204900.0,,,6.9,0.125
1263206700.0,,,7.5,0.125
1263208500.0,,,7.5,0.125
1263210300.0,,,6.9,0.125
1263212100.0,,,7.0,0.125
1263213900.0,,,7.8,0.125
1263215700.0,,,7.6,0.125
1263217500.0,,,7.1,0.125
1263219300.0,,,7.0,0.125
1263221100.0,,,6.8,0.125
1263222900.0,,,6.8,0.125
1263224700.0,,,6.6,0.125
1263226500.0,,,6.2,0.125
1263228300.0,,,6.0,0.125
1263230100.0,,,5.4,0.125
1263231900.0,,,4.2,0.125
1263233700.0,,,4.0,0.125
1263235500.0,,,4.4,0.125
1263237300.0,,,4.4,0.125
1263239100.0,,,4.3,0.125
1263240900.0,,,4.3,0.125
1263242700.0,,,3.9,0.125
1263244500.0,,,3.7,0.125
1263246300.0,,,4.6,0.125
1263248100.0,,,4.7,0.125
1263249900.0,,,4.4,0.125
1263251700.0,,,4.1,0.125
1263253500.0,,,4.1,0.125
1263255300.0,,,4.3,0.125
1263257100.0,,,4.2,0.125
1263258900.0,,,4.0,0.125
1263260700.0,,,4.3,0.125
1263262500.0,,,4.6,0.125
1263264300.0,,,4.2,0.125
1263266100.0,,,3.9,0.125
1263267900.0,,,4.4,0.125
1263269700.0,,,4.8,0.125
1263271500.0,,,4.4,0.125
1263273300.0,,,4.4,0.125
1263275100.0,,,4.4,0.125
1263276900.0,,,4.6,0.125
1263278700.0,,,4.6,0.125
1263280500.0,,,4.8,0.125
1263282300.0,,,5.2,0.125
1263284100.0,,,4.8,0.125
1263285900.0,,,4.8,0.125
1263287700.0,,,5.0,0.125
1263289500.0,,,5.0,0.125
1263291300.0,,,5.4,0.125
1263293100.0,,,5.7,0.125
1263294900.0,,,5.6,0.125
1263296700.0,,,4.9,0.125
1263298500.0,,,4.6,0.125
1263300300.0,,,5.1,0.125
1263302100.0,,,5.6,0.125
1263303900.0,,,5.6,0.125
1263305700.0,,,5.2,0.125
1263307500.0,,,4.7,0.125
1263309300.0,,,4.9,0.125
1263311100.0,,,5.3,0.125
1263312900.0,,,5.6,0.125
1263314700.0,,,6.2,0.125
1263316500.0,,,6.0,0.125
1263318300.0,,,5.7,0.125
1263320100.0,,,6.5,0.125
1263321900.0,,,6.8,0.125
1263323700.0,,,6.6,0.125
1263325500.0,,,6.4,0.125
1263327300.0,,,6.3,0.125
1263329100.0,,,6.3,0.125
1263330900.0,,,6.3,0.125
1263332700.0,,,6.7,0.125
1263334500.0,,,6.6,0.125
1263336300.0,,,6.6,0.125
1263338100.0,,,6.4,0.125
1263339900.0,,,6.1,0.125
1263341700.0,,,6.0,0.125
1263343500.0,,,6.0,0.125
1263345300.0,,,6.3,0.125
1263347100.0,,,6.6,0.125
1263348900.0,,,7.1,0.125
1263350700.0,,,7.6,0.125
1263352500.0,,,7.7,0.125
1263354300.0,,,8.2,0.125
1263356100.0,,,8.2,0.125
1263357900.0,,,7.7,0.125
1263359700.0,,,7.6,0.125
1263361500.0,,,7.5,0.125
1263363300.0,,,8.0,0.125
1263365100.0,,,8.4,0.125
1263366900.0,,,8.1,0.125
1263368700.0,,,7.6,0.125
1263370500.0,,,7.3,0.125
1263372300.0,,,7.2,0.125
1263374100.0,,,7.1,0.125
1263375900.0,,,7.5,0.125
1263377700.0,,,8.0,0.125
1263379500.0,,,8.2,0.125
1263381300.0,,,8.0,0.125
1263383100.0,,,7.3,0.125
1263384900.0,,,6.8,0.125
1263386700.0,,,7.3,0.125
1263388500.0,,,7.5,0.125
1263390300.0,,,7.5,0.125
1263392100.0,,,7.7,0.125
1263393900.0,,,7.1,0.125
1263395700.0,,,7.1,0.125
1263397500.0,,,8.5,0.125
1263399300.0,,,8.9,0.125
1263401100.0,,,8.8,0.125
1263402900.0,,,8.6,0.125
1263404700.0,,,8.3,0.125
1263406500.0,,,8.3,0.125
1263408300.0,,,8.6,0.125
1263410100.0,,,8.7,0.125
1263411900.0,,,8.7,0.125
1263413700.0,,,8.5,0.125
1263415500.0,,,8.2,0.125
1263417300.0,,,8.0,0.125
1263419100.0,,,7.2,0.125
1263420900.0,,,6.2,0.125
1263422700.0,,,6.2,0.125
1263424500.0,,,6.3,0.125
1263426300.0,,,6.1,0.125
1263428100.0,,,5.4,0.125
1263429900.0,,,4.8,0.125
1263431700.0,,,5.3,0.125
1263433500.0,,,5.2,0.125
1263435300.0,,,5.3,0.125
1263437100.0,,,5.9,0.125
1263438900.0,,,6.3,0.125
1263440700.0,,,6.9,0.125
1263442500.0,,,7.0,0.125
1263444300.0,,,6.9,0.125
1263446100.0,,,7.4,0.125
1263447900.0,,,8.4,0.125
1263449700.0,,,9.4,0.125
1263451500.0,,,10.4,0.125
1263453300.0,,,10.3,0.125
1263455100.0,,,8.9,0.125
1263456900.0,,,8.8,0.125
1263458700.0,,,9.0,0.125
1263460500.0,,,8.9,0.125
1263462300.0,,,9.6,0.125
1263464100.0,,,10.2,0.125
1263465900.0,,,10.4,0.125
1263467700.0,,,10.5,0.125
1263469500.0,,,9.8,0.125
1263471300.0,,,9.8,0.125
1263473100.0,,,10.7,0.125
1263474900.0,,,10.4,0.125
1263476700.0,,,10.7,0.125
1263478500.0,,,11.0,0.125
1263480300.0,,,10.0,0.125
1263482100.0,,,10.3,0.125
1263483900.0,,,10.4,0.125
1263485700.0,,,10.3,0.125
1263487500.0,,,10.5,0.125
1263489300.0,,,9.6,0.125
1263491100.0,,,9.1,0.125
1263492900.0,,,9.8,0.125
1263494700.0,,,9.9,0.125
1263496500.0,,,9.7,0.125
1263498300.0,,,9.6,0.125
1263500100.0,,,9.0,0.125
1263501900.0,,,8.2,0.125
1263503700.0,,,8.0,0.125
1263505500.0,,,8.0,0.125
1263507300.0,,,7.9,0.125
1263509100.0,,,7.7,0.125
1263510900.0,,,7.9,0.125
1263512700.0,,,8.1,0.125
1263514500.0,,,8.1,0.125
1263516300.0,,,8.2,0.125
1263518100.0,,,8.1,0.125
1263519900.0,,,8.7,0.125
1263521700.0,,,9.2,0.125
1263523500.0,,,9.7,0.125
1263525300.0,,,9.6,0.125
1263527100.0,,,10.4,0.125
1263528900.0,,,10.0,0.125
1263530700.0,,,8.1,0.125
1263532500.0,,,7.7,0.125
1263534300.0,,,8.1,0.125
1263536100.0,,,8.3,0.125
1263537900.0,,,7.6,0.125
1263539700.0,,,7.3,0.125
1263541500.0,,,6.7,0.125
1263543300.0,,,5.8,0.125
1263545100.0,,,5.4,0.125
1263546900.0,,,5.8,0.125
1263548700.0,,,6.1,0.125
1263550500.0,,,6.1,0.125
1263552300.0,,,6.2,0.125
1263554100.0,,,6.1,0.125
1263555900.0,,,5.8,0.125
1263557700.0,,,5.9,0.125
1263559500.0,,,5.8,0.125
1263561300.0,,,5.3,0.125
1263563100.0,,,5.7,0.125
1263564900.0,,,5.0,0.125
1263566700.0,,,4.1,0.125
1263568500.0,,,4.7,0.125
1263570300.0,,,4.3,0.125
1263572100.0,,,4.0,0.125
1263573900.0,,,4.7,0.125
1263575700.0,,,4.6,0.125
1263577500.0,,,4.2,0.125
1263579300.0,,,4.4,0.125
1263581100.0,,,4.8,0.125
1263582900.0,,,4.6,0.125
1263584700.0,,,4.2,0.125
1263586500.0,,,3.8,0.125
1263588300.0,,,3.9,0.125
1263590100.0,,,4.2,0.125
1263591900.0,,,4.2,0.125
1263593700.0,,,4.5,0.125
1263595500.0,,,4.4,0.125
1263597300.0,,,5.0,0.125
1263599100.0,,,5.3,0.125
1263600900.0,,,4.6,0.125
1263602700.0,,,4.2,0.125
1263604500.0,,,4.1,0.125
1263606300.0,,,4.7,0.125
1263608100.0,,,5.0,0.125
1263609900.0,,,4.5,0.125
1263611700.0,,,4.4,0.125
1263613500.0,,,4.4,0.125
1263615300.0,,,4.2,0.125
1263617100.0,,,4.3,0.125
1263618900.0,,,4.4,0.125
1263620700.0,,,5.1,0.125
1263622500.0,,,5.4,0.125
1263624300.0,,,5.4,0.125
1263626100.0,,,5.0,0.125
1263627900.0,,,4.1,0.125
1263629700.0,,,4.1,0.125
1263631500.0,,,3.9,0.125
1263633300.0,,,3.9,0.125
1263635100.0,,,4.6,0.125
1263636900.0,,,5.0,0.125
1263638700.0,,,5.0,0.125
1263640500.0,,,4.9,0.125
1263642300.0,,,4.4,0.125
1263644100.0,,,4.6,0.125
1263645900.0,,,4.6,0.125
1263647700.0,,,4.0,0.125
1263649500.0,,,4.0,0.125
1263651300.0,,,4.1,0.125
1263653100.0,,,3.7,0.125
1263654900.0,,,3.7,0.125
1263656700.0,,,3.8,0.125
1263658500.0,,,3.7,0.125
1263660300.0,,,4.2,0.125
1263662100.0,,,4.1,0.125
1263663900.0,,,3.6,0.125
1263665700.0,,,3.7,0.125
1263667500.0,,,4.0,0.125
1263669300.0,,,4.0,0.125
1263671100.0,,,3.5,0.125
1263672900.0,,,3.4,0.125
1263674700.0,,,3.8,0.125
1263676500.0,,,4.8,0.125
1263678300.0,,,5.0,0.125
1263680100.0,,,5.1,0.125
1263681900.0,,,5.4,0.125
1263683700.0,,,5.8,0.125
1263685500.0,,,5.5,0.125
1263687300.0,,,4.6,0.125
1263689100.0,,,4.8,0.125
1263690900.0,,,4.8,0.125
1263692700.0,,,4.7,0.125
1263694500.0,,,5.1,0.125
1263696300.0,,,5.1,0.125
1263698100.0,,,4.9,0.125
1263699900.0,,,5.0,0.125
1263701700.0,,,4.8,0.125
1263703500.0,,,4.5,0.125
1263705300.0,,,4.7,0.125
1263707100.0,,,5.2,0.125
1263708900.0,,,5.1,0.125
1263710700.0,,,5.2,0.125
1263712500.0,,,5.2,0.125
1263714300.0,,,4.6,0.125
1263716100.0,,,4.8,0.125
1263717900.0,,,5.1,0.125
1263719700.0,,,5.5,0.125
1263721500.0,,,6.0,0.125
1263723300.0,,,6.1,0.125
1263725100.0,,,5.9,0.125
1263726900.0,,,5.6,0.125
1263728700.0,,,5.7,0.125
1263730500.0,,,6.0,0.125
1263732300.0,,,6.0,0.125
1263734100.0,,,6.3,0.125
1263735900.0,,,6.2,0.125
1263737700.0,,,6.4,0.125
1263739500.0,,,6.2,0.225
1263741300.0,,,7.2,0.125
1263743100.0,,,7.1,0.125
1263744900.0,,,7.5,0.125
1263746700.0,,,7.8,0.125
1263748500.0,,,7.1,0.125
1263750300.0,,,7.6,0.325
1263752100.0,,,9.2,0.125
1263753900.0,,,9.5,0.125
1263755700.0,,,10.8,0.125
1263757500.0,,,10.6,0.125
1263759300.0,,,11.1,0.125
1263761100.0,,,11.5,0.225
1263762900.0,,,12.1,0.125
1263764700.0,,,11.4,0.125
1263766500.0,,,11.7,0.125
1263768300.0,,,11.5,0.125
1263770100.0,,,11.1,0.125
1263771900.0,,,11.1,0.125
1263773700.0,,,9.8,0.125
1263775500.0,,,9.3,0.125
1263777300.0,,,9.3,0.125
1263779100.0,,,9.1,0.125
